ref,Teff,logg,micro,source_id_GAIA,[OI/FeI],[O/H],Ostd,[NaI/FeI],[Na/H],Nastd,[MgI/FeI],[Mg/H],Mgstd,[AlI/FeI],[Al/H],Alstd,[SiI/FeI],[Si/H],Sistd,[CaI/FeI],[Ca/H],Castd,target_id,[ScII/FeII],[ScII/H],ScIIstd,[TiI/FeI],[TiI/H],TiIstd,[TiII/FeII],[TiII/H],TiIIstd,[VI/FeI],[V/H],Vstd,[CrI/FeI],[Cr/H],Crstd,[MnI/FeI],[Mn/H],Mnstd,[FeI/H],Festd,[FeII/H],FeIIstd,[CoI/FeI],[Co/H],Costd,[NiI/FeI],[Ni/H],Nistd,[CuI/FeI],[Cu/H],Custd,[ZnI/FeI],[Zn/H],Znstd,[Sr/Fe],[Sr/H],Srstd,[YII/FeII],[YII/H],Ystd,[ZrII/FeII],[ZrII/H],Zrstd,[BaII/FeII],[BaII/H],Bastd,[LaII/FeII],[LaII/H],Lastd,[CeII/FeII],[CeII/H],Cestd,[PrII/FeII],[PrII/H],Prstd,[NdII/FeII],[NdII/H],Ndstd,[SmII/FeII],[SmII/H],Smstd,[EuII/FeII],[EuII/H],Eustd,main_id_2,Strut,Structure,ra,ra_error,dec,dec_error,parallax,parallax_error,parallax_over_error,pm,pmra,pmra_error,pmdec,pmdec_error,astrometric_params_solved,pseudocolour,pseudocolour_error,ruwe,phot_g_mean_mag,phot_g_mean_mag_error
MINCE IV,4524,2.1,1.56,1783455933823136384,0.49000000953674316,-0.32999998331069946,0.0,0.42,-0.39999999284744264,0.09,0.6399999856948853,-0.18000000715255737,0.07,0.6399999856948853,-0.18000000715255737,0.04,0.38999998569488525,-0.4300000071525574,0.13,0.34,-0.4799999928474426,0.1,TYC_1118-386-1,0.45,-0.3899999737739563,0.1,0.4099999964237213,-0.4099999964237213,0.15,0.38999998569488525,-0.44999998807907104,0.11,0.27,-0.5499999928474426,0.14,0.06,-0.7599999928474426,0.14,-0.20999999344348907,-1.0299999862909317,0.12,-0.82,0.16,-0.84,0.14,0.23,-0.5899999928474426,0.14,0.05,41.05,0.16,-0.0,-0.8199999928474426,0.03,-0.10999999940395355,-0.9299999922513962,0.0,-0.5600000023841858,-1.3799999952316284,0,-0.08,-0.9199999737739563,0.03,0.03,-0.8099999737739563,0.34,-0.2199999988079071,-1.0599999725818634,0.02,0.15000000596046448,-0.6899999678134918,0.09,-0.029999999329447746,-0.869999973103404,0.16,0.15000000596046448,-0.6899999678134918,0.0,0.24,-0.5999999737739563,0.14,0.29,-0.5499999737739563,0.1,0.63,-0.2099999737739563,0.0,TYC 1118-386-1,TT,1,320.74016154542,0.0121,14.99099086587,0.0153,1.8646,0.0153,121.9161,33.57,-30.455,0.014,-14.123,0.015,31,,,1.008,9.130979,0.002759
MINCE III,4564,1.15,2.0,6709735731028644864,999.9990234375,998.556023478508,999.9990234375,-0.09699999999999998,-1.5399999589920044,0.039,0.4620000000000001,-0.9809999589920043,0.058,0.21300000000000008,-1.2299999589920043,0.128,0.28300000000000014,-1.1599999589920043,0.071,0.41500000000000004,-1.0279999589920044,0.025,CD-44_12644,0.33899999999999997,-1.3159999713897705,0.104,0.4590000000000001,-0.9839999589920043,0.059,0.43599999999999994,-1.2189999713897706,0.104,0.129,-1.3139999589920044,0.042,0.051000000000000156,-1.3919999589920042,0.0,-0.16799999999999993,-1.6109999589920043,0.048,-1.443,0.119,-1.655,0.068,0.18200000000000016,-1.2609999589920042,0.118,-0.016000000000000014,40.984,0.14,-0.393,-1.8359999589920044,0.066,-0.20999999999999996,-1.6529999589920044,0.0,-0.06899999999999995,-1.5119999589920043,0,0.17100000000000004,-1.4839999713897705,0.0,0.73,-0.9249999713897705,0.0,0.6080000000000001,-1.0469999713897704,0.0,0.607,-1.0479999713897705,0.0,0.5329999999999999,-1.1219999713897706,0.0,0.53,-1.1249999713897705,0.0,0.6440000000000001,-1.0109999713897704,0.0,0.721,-0.9339999713897705,0.0,0.768,-0.8869999713897705,0.0,CD-44 12644,T,2,277.44016517158,0.0123,-44.40794771279,0.0111,0.5829,0.0154,37.7568,24.17,-2.128,0.014,-24.076,0.012,31,,,1.016,9.282762,0.00276
MINCE III,4280,1.15,1.81,3749791536453362432,999.9990234375,998.5870234966278,999.9990234375,0.09799999999999986,-1.3139999408721925,0.011,0.693,-0.7189999408721924,0.1,0.5279999999999999,-0.8839999408721925,0.068,0.59,-0.8219999408721924,0.121,0.45699999999999996,-0.9549999408721924,0.066,BD-13_3195,0.397,-1.033999994277954,0.143,0.4879999999999999,-0.9239999408721925,0.08,0.43300000000000005,-0.997999994277954,0.076,0.15900000000000003,-1.2529999408721924,0.092,0.11299999999999999,-1.2989999408721924,0.0,-0.14200000000000013,-1.5539999408721925,0.094,-1.412,0.153,-1.431,0.115,0.21299999999999986,-1.1989999408721925,0.146,0.07399999999999984,41.074,0.133,-0.19400000000000017,-1.6059999408721926,0.109,-0.04500000000000015,-1.4569999408721925,0.029,-997.588,-998.9999999408722,0,0.3640000000000001,-1.066999994277954,0.0,0.7210000000000001,-0.709999994277954,0.0,0.4850000000000001,-0.945999994277954,0.0,0.3560000000000001,-1.074999994277954,0.0,0.31699999999999995,-1.1139999942779542,0.0,0.27,-1.160999994277954,0.0,-997.569,-998.9999999942779,0.0,0.5391,-0.8918999942779541,0.0,0.42800000000000016,-1.002999994277954,0.0,BD-13  3195,T,2,160.49998596186,0.0171,-14.68743295054,0.0165,0.7884,0.022,35.9155,26.968,11.705,0.025,-24.296,0.024,95,1.4236,0.0049,0.974,9.157364,0.002769
MINCE III,4105,0.72,1.96,6759417129565467904,999.9990234375,998.2030234336853,999.9990234375,-0.020999999999999908,-1.8170000038146972,0.031,0.56,-1.2360000038146972,0.05,0.15900000000000003,-1.6370000038146972,0.128,0.371,-1.4250000038146973,0.123,0.41000000000000014,-1.3860000038146971,0.055,CD-29_15930,0.2430000000000001,-1.4180000133514403,0.115,0.41800000000000015,-1.3780000038146971,0.063,0.365,-1.2960000133514404,0.059,0.050999999999999934,-1.7450000038146973,0.06,0.02300000000000013,-1.7730000038146971,0.0,-0.28300000000000014,-2.0790000038146976,0.116,-1.796,0.111,-1.661,0.123,0.131,-1.6650000038146973,0.148,0.0040000000000000036,41.004,0.139,-0.3600000000000001,-2.1560000038146976,0.127,-997.204,-999.0000000038146,-999.0,-0.3579999999999999,-2.154000003814697,0,0.07600000000000007,-1.5850000133514404,0.0,0.5700000000000001,-1.0910000133514404,0.0,0.125,-1.5360000133514404,0.0,0.052000000000000046,-1.6090000133514404,0.0,-0.08000000000000007,-1.7410000133514405,0.0,0.08499999999999996,-1.5760000133514405,0.0,-997.339,-999.0000000133515,0.0,0.2510000000000001,-1.4100000133514403,0.0,0.42210000000000014,-1.2389000133514403,0.0,CD-29 15930,T,2,289.32997027989,0.0128,-29.46750383636,0.0121,0.3654,0.0153,23.8568,8.087,1.47,0.015,-7.952,0.012,31,,,0.89,9.674984,0.002937
MINCE III,4344,0.48,2.19,3747380238733968256,999.9990234375,998.3160234689713,999.9990234375,-0.07199999999999984,-1.7549999685287474,0.045,0.4690000000000001,-1.2139999685287475,0.08,-0.010999999999999899,-1.6939999685287475,0.124,0.256,-1.4269999685287476,0.112,0.41500000000000004,-1.2679999685287475,0.044,BD-17_3143,0.22799999999999998,-1.6799999923706055,0.094,0.4890000000000001,-1.1939999685287475,0.093,0.4269999999999998,-1.4809999923706056,0.126,0.14200000000000013,-1.5409999685287474,0.071,0.10699999999999998,-1.5759999685287476,0.0,-0.22299999999999986,-1.9059999685287474,0.087,-1.683,0.144,-1.908,0.112,0.14200000000000013,-1.5409999685287474,0.131,-0.028000000000000025,40.972,0.149,-0.3720000000000001,-2.0549999685287474,0.064,-0.258,-1.9409999685287476,0.004,-0.23699999999999988,-1.9199999685287474,0,0.028999999999999915,-1.8789999923706056,0.0,0.5569999999999999,-1.3509999923706055,0.0,0.23199999999999998,-1.6759999923706055,0.0,0.30099999999999993,-1.6069999923706055,0.0,0.19699999999999984,-1.7109999923706056,0.0,0.32399999999999984,-1.5839999923706056,0.0,0.3599999999999999,-1.5479999923706056,0.0,0.5029999999999999,-1.4049999923706056,0.0,0.5999999999999999,-1.3079999923706056,0.0,BD-17  3143,T,2,156.44138632521,0.0131,-17.98906363265,0.0147,0.2413,0.0156,15.4589,11.066,2.459,0.017,-10.79,0.018,31,,,0.952,9.974993,0.002792
MINCE III,4245,0.91,1.97,3174402807987539584,999.9990234375,998.0690234899521,999.9990234375,-0.07400000000000007,-2.0039999475479124,0.098,0.5369999999999999,-1.3929999475479127,0.056,0.11099999999999999,-1.8189999475479126,0.116,0.42199999999999993,-1.5079999475479127,0.079,0.401,-1.5289999475479126,0.059,BD-13_934,0.16500000000000004,-1.5639999723434448,0.121,0.369,-1.5609999475479126,0.06,0.28500000000000014,-1.4439999723434447,0.076,0.01200000000000001,-1.9179999475479126,0.064,0.03699999999999992,-1.8929999475479127,0.0,-0.2769999999999999,-2.2069999475479127,0.085,-1.93,0.12,-1.729,0.123,0.11799999999999988,-1.8119999475479127,0.131,0.018999999999999906,41.019,0.133,-0.39500000000000024,-2.324999947547913,0.138,0.09199999999999986,-1.8379999475479127,0.003,-0.038000000000000034,-1.9679999475479126,0,0.06800000000000006,-1.6609999723434448,0.0,0.4760000000000002,-1.2529999723434446,0.0,0.07400000000000007,-1.6549999723434448,0.0,0.1260000000000001,-1.6029999723434447,0.0,-0.040999999999999925,-1.7699999723434447,0.0,0.1140000000000001,-1.6149999723434447,0.0,0.19300000000000006,-1.5359999723434448,0.0,0.3440000000000001,-1.3849999723434447,0.0,0.5430000000000001,-1.1859999723434447,0.0,BD-13   934,T,2,69.31540457366,0.0097,-13.64671274232,0.0076,0.501,0.0161,31.0476,20.074,19.598,0.011,-4.344,0.01,31,,,1.005,9.528528,0.002772
MINCE III,4100,0.71,1.91,6182273924132372352,999.9990234375,998.8830233812332,999.9990234375,0.026000000000000023,-1.0900000562667846,0.062,0.3770000000000001,-0.7390000562667846,0.062,0.16300000000000014,-0.9530000562667845,0.068,0.20900000000000007,-0.9070000562667846,0.131,0.2510000000000001,-0.8650000562667846,0.037,CD-28_10039,0.051999999999999935,-0.9629999856948853,0.126,0.30400000000000005,-0.8120000562667846,0.077,0.09899999999999987,-0.9159999856948854,0.098,0.026000000000000023,-1.0900000562667846,0.079,0.05900000000000016,-1.0570000562667845,0.0,-0.34399999999999986,-1.4600000562667845,0.12,-1.116,0.201,-1.015,0.139,0.01200000000000001,-1.1040000562667847,0.15,-0.04799999999999982,40.952,0.113,-0.34199999999999986,-1.4580000562667845,0.12,-0.33199999999999985,-1.4480000562667845,0.005,-997.884,-999.0000000562668,0,-0.020000000000000018,-1.0349999856948853,0.0,0.34699999999999986,-0.6679999856948854,0.0,0.17299999999999993,-0.8419999856948853,0.0,0.31799999999999995,-0.6969999856948853,0.0,-0.1060000000000001,-1.1209999856948853,0.0,0.15599999999999992,-0.8589999856948853,0.0,-997.985,-998.9999999856949,0.0,-997.985,-998.9999999856949,0.0,0.5216999999999998,-0.4932999856948854,0.0,CD-28 10039,T,2,200.70252875559,0.0164,-29.22004472733,0.0127,0.4351,0.0198,22.0055,5.0,-4.097,0.021,2.865,0.015,31,,,1.13,9.255157,0.002802
MINCE III,4265,1.0,1.87,6534813945118770048,999.9990234375,998.6080234050751,999.9990234375,-0.23899999999999988,-1.6300000324249266,0.055,0.515,-0.8760000324249267,0.084,-0.03400000000000003,-1.4250000324249268,0.093,0.42500000000000004,-0.9660000324249267,0.091,0.29800000000000004,-1.0930000324249267,0.09,CD-44_15269,0.02400000000000002,-1.166000057220459,0.146,0.2909999999999999,-1.1000000324249268,0.074,0.2529999999999999,-0.9370000572204591,0.073,-0.08000000000000007,-1.4710000324249268,0.049,-0.03699999999999992,-1.4280000324249267,0.0,-0.3679999999999999,-1.7590000324249266,0.102,-1.391,0.154,-1.19,0.167,0.07699999999999996,-1.3140000324249268,0.116,0.02200000000000002,41.022,0.14,-0.46199999999999997,-1.8530000324249267,0.093,-997.609,-999.000000032425,-999.0,-0.4079999999999999,-1.7990000324249267,0,-0.10899999999999999,-1.299000057220459,0.0,0.32,-0.8700000572204589,0.0,0.4039999999999999,-0.7860000572204591,0.0,-0.14900000000000002,-1.339000057220459,0.0,-0.18700000000000006,-1.377000057220459,0.0,-0.19100000000000006,-1.381000057220459,0.0,-0.06499999999999995,-1.255000057220459,0.0,0.129,-1.061000057220459,0.0,0.2549999999999999,-0.9350000572204591,0.0,CD-44 15269,T,2,352.98739467153,0.0115,-44.21205617076,0.0109,0.4209,0.0164,25.6985,10.946,10.468,0.013,-3.196,0.012,31,,,0.983,9.940577,0.002808
MINCE III,4111,0.99,1.82,6243483530298753536,999.9990234375,998.3400233983994,999.9990234375,-0.10599999999999987,-1.7650000391006468,0.052,0.571,-1.088000039100647,0.092,0.15300000000000002,-1.506000039100647,0.088,0.51,-1.149000039100647,0.07,0.357,-1.302000039100647,0.046,TYC_6199-351-1,0.04999999999999982,-1.247000050544739,0.01,0.29499999999999993,-1.364000039100647,0.066,0.21299999999999986,-1.084000050544739,0.065,-0.05800000000000005,-1.717000039100647,0.059,-0.10099999999999998,-1.760000039100647,0.0,-0.30600000000000005,-1.965000039100647,0.072,-1.659,0.156,-1.297,0.176,0.127,-1.532000039100647,0.145,0.03600000000000003,41.036,0.144,-0.43700000000000006,-2.0960000391006472,0.109,0.1180000000000001,-1.5410000391006469,0.045,-0.5109999999999999,-2.170000039100647,0,-0.29600000000000004,-1.5930000505447388,0.0,0.25,-1.0470000505447388,0.0,-0.13600000000000012,-1.433000050544739,0.0,-0.2350000000000001,-1.5320000505447389,0.0,-0.30700000000000016,-1.604000050544739,0.0,-0.16700000000000004,-1.4640000505447388,0.0,-997.703,-999.0000000505447,0.0,0.10499999999999998,-1.1920000505447388,0.0,0.23099999999999987,-1.066000050544739,0.0,TYC 6199-351-1,T,2,239.55671306031,0.0193,-21.94796425389,0.0132,0.5032,0.0232,21.697,19.863,-7.982,0.023,-18.188,0.017,31,,,1.129,9.710035,0.002772
MINCE III,4323,1.03,1.93,6101242287993360896,999.9990234375,998.3200234174728,999.9990234375,-0.16599999999999993,-1.8450000200271606,0.038,0.391,-1.2880000200271606,0.074,0.10899999999999999,-1.5700000200271607,0.001,0.3320000000000001,-1.3470000200271606,0.053,0.272,-1.4070000200271606,0.039,CD-39_9313,0.02200000000000002,-1.4510000495910644,0.018,0.31899999999999995,-1.3600000200271607,0.061,0.22399999999999998,-1.2490000495910645,0.062,-0.006000000000000005,-1.6850000200271606,0.045,0.017000000000000126,-1.6620000200271605,0.0,-0.2869999999999999,-1.9660000200271606,0.117,-1.679,0.148,-1.473,0.152,0.10499999999999998,-1.5740000200271607,0.15,0.006000000000000005,41.006,0.129,-0.482,-2.161000020027161,0.115,0.04600000000000004,-1.6330000200271606,0.0,-0.3749999999999998,-2.0540000200271606,0,-0.09099999999999997,-1.5640000495910644,0.0,0.24,-1.2330000495910645,0.0,0.39600000000000013,-1.0770000495910643,0.0,0.08100000000000018,-1.3920000495910643,0.0,0.01100000000000012,-1.4620000495910643,0.0,-0.020999999999999908,-1.4940000495910644,0.0,0.13000000000000012,-1.3430000495910643,0.0,0.16000000000000014,-1.3130000495910643,0.0,0.3370000000000002,-1.1360000495910643,0.0,CD-39  9313,T,2,223.42466453845,0.0135,-40.4989921368,0.0135,0.4458,0.0172,25.8987,13.965,10.381,0.015,-9.341,0.017,31,,,0.966,9.59768,0.002974
MINCE I\II,4820,2.26,1.56,1361269101122102528,0.6399999856948853,-0.8689999580383301,0.0,-0.04999995231628418,-1.5589998960494995,0.07,0.49000000953674316,-1.0189999341964722,0.16,0.31999993324279785,-1.1890000104904175,0.06,0.49000000953674316,-1.0189999341964722,0.05,0.4299999475479126,-1.0789999961853027,0.06,TYC3085_119_1,0.38999998569488525,-1.034000039100647,0.1,0.3700000047683716,-1.1389999389648438,0.08,0.4099999666213989,-1.0140000581741333,0.07,10.63700008392334,9.128000140190125,0.07,0.0,-1.5089999437332153,0.0,-0.26999998092651367,-1.778999924659729,0.04,-1.509,0.102,-1.424,0.172,0.09000003337860107,-1.4189999103546143,0.12,0.029999971389770508,41.02999997138977,0.11,-0.3200000524520874,-1.8289999961853027,0.08,0.16999995708465576,-1.3389999866485596,0.08,0.18700000643730164,-1.3219999372959137,0,0.2639999985694885,-1.1600000262260437,0.0,0.73,-0.6940000247955322,0.07,0.4519999921321869,-0.9720000326633453,0.0,0.5289999842643738,-0.8950000405311584,0.0,0.34200000762939453,-1.0820000171661377,0.0,0.41600000858306885,-1.0080000162124634,0.0,0.4189999997615814,-1.0050000250339508,0.0,0.5289999842643738,-0.8950000405311584,0.0,0.6389999985694885,-0.7850000262260437,0.0,TYC 3085-119-1,T,2,259.15409232652,0.0116,44.1786794922,0.0121,1.0082,0.0123,82.0188,12.405,1.187,0.014,-12.348,0.015,31,,,1.16,10.385305,0.002767
