OBS,facility,has_paper_olda_1,who,selection_1,Teff,logg,micro,ra,dec,source_id,GroupSize_2,O,Ostd,Na,Nastd,Mg,Mgstd,Al,Alstd,Si,Sistd,Ca,Castd,target_id,ScII,ScIIstd,TiI,TiIstd,TiII,TiIIstd,V,Vstd,Cr,Crstd,Mn,Mnstd,Fe,Festd,FeII,FeIIstd,Co,Costd,Ni,Nistd,Cu,Custd,Zn,Znstd,Sr,Srstd,Y,Ystd,Zr,Zrstd,Ba,Bastd,La,Lastd,Ce,Cestd,Pr,Prstd,Nd,Ndstd,Sm,Smstd,Eu,Eustd,main_id_2,Strut,ra,ra_error,dec,dec_error,parallax,parallax_error,parallax_over_error,pm,pmra,pmra_error,pmdec,pmdec_error,astrometric_params_solved,pseudocolour,pseudocolour_error,ruwe,phot_g_mean_mag,phot_g_mean_mag_error
NOT_Lapo,NOT_Lapo1,,Trieste group,mince2,4544,1.73,1.73,83.07010972836557,-9.369124433321808,3013903552332348288,,0.4399999976158142,0.0,-0.07,0.05,0.41999998688697815,0.1,0.1899999976158142,0.02,0.3700000047683716,0.11,0.4,0.08,TYC_5333-1917-1,0.27,0.16,0.30000001192092896,0.12,0.3700000047683716,0.13,0.05,0.07,0.02,0.08,-0.3799999952316284,0.09,-1.38,0.15,-1.31,0.13,0.04,0.14,0.02,0.15,-0.49000000953674316,0.08,0.019999999552965164,0.0,-0.07999999821186066,0,0.01,0.11,0.63,0.14,0.47999998927116394,0.13,0.49000000953674316,0.08,0.6299999952316284,0.1,0.46000000834465027,0.16,0.55,0.18,0.61,0.12,0.76,0.0,TYC 5333-1917-1,G,83.07022425224,0.0119,-9.36930255557,0.0108,0.7962,0.0174,45.7954,47.462,25.424,0.016,-40.078,0.013,31,,,1.071,10.095417,0.002765
NOT_Lapo,NOT_Lapo2,,Trieste group,mince2,4377,1.09,2.04,252.96748809061327,31.6736539721217,1313240783953605632,,0.6499999761581421,0.0,-0.01,0.02,0.5699999928474426,0.05,-9.989999771118164,0.0,0.4399999976158142,0.08,0.43,0.07,TYC_2589-1098-1,0.28,0.09,0.3700000047683716,0.12,0.38999998569488525,0.12,0.09,0.08,-0.03,0.14,-0.38999998569488525,0.08,-1.83,0.13,-1.8,0.12,0.14,0.12,0.04,0.16,-0.4000000059604645,0.16,-0.019999999552965164,0.03,-0.23000000417232513,0,-0.12,0.09,0.5,0.07,-0.11999999731779099,0.0,0.1599999964237213,0.05,0.14000000059604645,0.06,0.1599999964237213,0.07,0.23,0.08,0.31,0.06,0.57,0.0,TYC 2589-1098-1,T,252.96745524349,0.0083,31.67360059217,0.0087,0.4978,0.0105,47.2125,13.558,-6.29,0.012,-12.01,0.011,31,,,0.997,9.517253,0.002768
NOT_Lapo,NOT_Lapo2,,Trieste group,mince2,4329,1.14,1.91,358.4696738606218,12.639187341189094,2766840957405002496,,0.6899999976158142,0.0,0.03,0.01,0.6800000071525574,0.06,0.3199999928474426,0.01,0.44999998807907104,0.11,0.43,0.07,BD+11_5071,0.32,0.07,0.36000001430511475,0.12,0.4099999964237213,0.08,0.11,0.06,-0.04,0.13,-0.38999998569488525,0.09,-1.8,0.12,-1.72,0.11,0.16,0.13,0.04,0.13,-0.4399999976158142,0.03,0.05999999865889549,0.0,-0.2150000035762787,0,-0.07,0.08,0.5,0.07,-0.05999999865889549,0.06,0.10999999940395355,0.08,0.09000000357627869,0.06,0.03,0.01,0.14,0.0,0.27,0.0,0.46,0.0,BD+11 5071,H,358.46966619011,0.0142,12.6390888303,0.0136,0.5424,0.0192,28.3199,22.229,-1.684,0.019,-22.165,0.016,95,1.4319,0.0026,1.06,9.577116,0.002763
Cesc_NOT,NOT_62_done,,Trieste group,mince2,4302,0.61,2.23,120.00351716032063,39.86547788082266,921290624095457408,,0.5799999833106995,0.0,0.09,0.07,0.6399999856948853,0.06,0.18000000715255737,0.14,0.38999998569488525,0.06,0.38,0.1,TYC_2973-1090-1,0.26,0.1,0.3700000047683716,0.12,0.3400000035762787,0.1,0.16,0.09,-0.03,0.16,-0.4099999964237213,0.11,-1.88,0.12,-1.94,0.1,0.14,0.11,-0.01,0.13,-0.3499999940395355,0.17,-0.15000000596046448,0.0,-0.23999999463558197,0,-0.16,0.08,0.47,0.02,-0.20999999344348907,0.0,0.09000000357627869,0.07,-0.029999999329447746,0.12,0.10000000149011612,0.08,0.15,0.08,0.3,0.07,0.52,0.0,TYC 2973-1090-1,H,120.0035664795,0.0128,39.86540635438,0.0123,0.3428,0.0168,20.3548,18.208,8.517,0.016,-16.093,0.013,31,,,1.065,9.144907,0.002776
NOT_Lapo,NOT_Lapo2,,Trieste group,mince2,4570,1.42,1.97,0.47409328021369895,8.53170529829605,2746873379567722752,,0.699999988079071,0.05000000074505806,-0.09,0.05,0.5899999737739563,0.06,-9.989999771118164,0.0,0.3700000047683716,0.11,0.39,0.07,BD+07_5118,0.24,0.08,0.3100000023841858,0.1,0.36000001430511475,0.1,0.03,0.06,-0.05,0.09,-0.44999998807907104,0.06,-1.94,0.12,-1.87,0.12,0.1,0.08,0.02,0.12,-0.5899999737739563,0.01,0.029999999329447746,0.01,-0.26499998569488525,0,-0.22,0.06,0.44,0.0,0.0,0.04,0.17000000178813934,0.07,0.10999999940395355,0.03,0.1599999964237213,0.03,0.21,0.09,0.37,0.04,0.51,0.0,BD+07  5118,T,0.47420795752,0.016,8.53167562671,0.0126,0.7612,0.0194,39.1734,26.376,25.517,0.023,-6.676,0.02,31,,,1.006,9.20927,0.002762
TNGs,TNG 42_done,,Trieste group,mince2,4687,1.76,1.69,146.6400997331537,12.378832322103264,614214137606176768,,0.3199999928474426,0.0,0.46,0.06,0.4099999964237213,0.1,0.6800000071525574,0.0,0.3799999952316284,0.05,0.43,0.05,BD+132153,0.28,0.06,0.30000001192092896,0.07,0.3799999952316284,0.07,-0.02,0.09,-0.03,0.05,-0.4000000059604645,0.06,-1.69,0.1,-1.63,0.1,0.05,0.09,0.0,0.12,-0.5400000214576721,0.02,0.10999999940395355,0.02,-0.0729999989271164,0,0.01,0.05,0.35,0.21,0.33000001311302185,0.16,0.1599999964237213,0.1,0.18000000715255737,0.07,0.15000000596046448,0.07,0.25,0.09,0.41,0.0,0.52,0.0,BD+13  2153,T,146.64001175358,0.0273,12.37865290965,0.0365,1.2518,0.0222,56.2893,44.759,-19.335,0.029,-40.368,0.036,31,,,0.892,8.826126,0.002765
TNGs,TNG2020,,Trieste group,mince2,4610,1.73,1.63,158.2390566554,35.3823981288,751283723890407936,0,0.31299999356269836,0.025100000202655792,0.4959999918937683,0.0578,0.41499999165534973,0.0,0.421999990940094,0.0,0.2070000022649765,0.0693,0.2529999911785126,0.0908,HD91276,0.30000001192092896,0.1477,0.22499999403953552,0.104,0.24400000274181366,0.1386,0.15800000727176666,0.1036,0.07699999958276749,0.1366,-0.16099999845027924,0.087,-0.624,0.1453,-0.745,0.1038,0.14499999582767487,0.1419,0.0729999989271164,0.1301,0.003000000026077032,0.0,-0.24899999797344208,0.0,-0.29600000381469727,0,-0.03799999877810478,0.093,0.2939999997615814,0.0446,0.257999986410141,0.0,0.1979999989271164,0.0719,0.24899999797344208,0.0938,0.17499999701976776,0.0354,0.22100000083446503,0.1559,0.2680000066757202,0.0409,0.38600000739097595,0.0,HD  91276,D,158.23897619933,0.0156,35.38242483901,0.0143,1.4101,0.0206,68.47589874267578,15.911,-14.706,0.022,6.072,0.017,31,,,1.113,8.576634,0.002762
Spito_NOT,NOT_61_Spito,,Trieste group,mince2,4942,1.68,1.79,271.3768808903,9.8251042445,4482637648644650368,0,0.37599998712539673,0.13750000298023224,0.4690000116825104,0.0,0.43700000643730164,0.05,0.4230000078678131,0.0824,0.22699999809265137,0.1274,0.2290000021457672,0.1712,HD165400,0.19900000095367432,0.1144,0.15700000524520874,0.2019,0.13600000739097595,0.1765,0.24799999594688416,0.1376,0.04100000113248825,0.2082,-0.06300000101327896,0.1877,-0.352,0.2364,-0.597,0.1703,0.15700000524520874,0.1263,0.035999998450279236,0.1991,-0.16099999845027924,0.1122,-0.5740000009536743,0.6088,-0.24799999594688416,0,0.16300000250339508,0.1216,0.2840000092983246,0.0,0.5400000214576721,0.0,0.33500000834465027,0.0899,0.1899999976158142,0.2059,0.2549999952316284,0.132,0.3370000123977661,0.136,0.3009999990463257,0.1261,0.43299999833106995,0.0487,HD 165400,D,271.37688314305,0.0259,9.82507427894,0.025,1.3752,0.0305,45.07400131225586,6.87,0.446,0.028,-6.856,0.025,31,,,1.685,8.350513,0.002761
TNGs,TNG 42_done,,Trieste group,mince2,4592,1.45,2.07,136.07013080918745,14.300200501066803,607178809376609536,,0.7300000190734863,0.0,-99.99,0.0,0.41999998688697815,0.06,-9.989999771118164,0.0,0.41999998688697815,0.06,0.38,0.07,HD77662,0.13,0.08,0.23999999463558197,0.07,0.23999999463558197,0.1,-0.13,0.09,-0.11,0.07,-0.44999998807907104,0.05,-2.18,0.11,-2.03,0.1,0.05,0.13,0.0,0.1,-0.6800000071525574,0.0,0.029999999329447746,0.02,-0.1550000011920929,0,-0.19,0.05,0.23,0.07,0.0,0.03,0.1899999976158142,0.1,0.20000000298023224,0.08,0.23000000417232513,0.0,0.32,0.08,0.48,0.04,0.66,0.0,HD  77662,H,136.07017108674,0.0137,14.29994746796,0.0099,0.8576,0.0168,51.1427,57.606,8.782,0.017,-56.932,0.013,31,,,0.925,8.990972,0.002761
TNGs,TNG 42_done,,Trieste group,mince2,4531,1.34,1.78,115.24440669047921,29.434708314637025,878734232701054336,,0.6100000143051147,0.0,-0.14,0.0,0.4399999976158142,0.05,-9.989999771118164,0.0,0.3799999952316284,0.03,0.37,0.08,TYC_1924-1531-1,0.2,0.09,0.2199999988079071,0.06,0.3400000035762787,0.08,-0.08,0.09,-0.11,0.07,-0.5,0.05,-2.15,0.11,-2.06,0.09,0.06,0.07,-0.0,0.12,-0.6700000166893005,0.0,-0.009999999776482582,0.02,-0.23000000417232513,0,-0.13,0.05,0.19,0.11,0.2199999988079071,0.1,0.23999999463558197,0.09,0.20999999344348907,0.05,0.24,0.06,0.32,0.09,0.5,0.04,0.67,0.01,TYC 1924-1531-1,T,115.24439795899,0.0144,29.43457433045,0.0117,0.7181,0.0148,48.5538,30.195,-1.711,0.016,-30.146,0.013,31,,,0.954,9.205582,0.002769
NOT_Lapo,NOT_Lapo2,,Trieste group,mince2,4606,2.36,1.62,261.61071145884364,28.702445241934928,4598598089142562560,,0.6100000143051147,0.18000000715255737,0.46,0.01,0.5799999833106995,0.07,0.5899999737739563,0.06,0.3199999928474426,0.08,0.26,0.07,BD+28_2741,0.37,0.1,0.41999998688697815,0.12,0.3499999940395355,0.15,0.3,0.14,0.08,0.17,-0.14000000059604645,0.1,-0.61,0.16,-0.7,0.15,0.23,0.13,0.06,0.14,0.07000000029802322,0.0,-0.1899999976158142,0.0,-0.5299999713897705,0,0.05,0.05,0.18,0.02,-0.28999999165534973,0.05,0.1899999976158142,0.04,0.20000000298023224,0.12,0.1899999976158142,0.04,0.32,0.09,0.34,0.06,0.57,0.0,BD+28  2741,T,261.61044149063,0.0079,28.70224263902,0.0092,2.646,0.0111,238.1779,70.12,-53.279,0.01,-45.586,0.012,31,,,1.033,8.850589,0.002758
